2021-03-11 17:32:01,106 INFO     Opened server Juzang session
2021-03-11 17:32:01,106 DEBUG    Using selector: KqueueSelector
2021-03-11 17:32:01,107 INFO     Juzang serving on ('127.0.0.1', 15404)
2021-03-11 17:32:13,348 INFO     Received from ('127.0.0.1', 49280): AT Bernard +1246004.4264051914 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:32:13,348 INFO     Received new propagated information about location of kiwi.cs.ucla.edu
2021-03-11 17:32:13,351 INFO     Propagating message to Riley: AT Bernard +1246004.4264051914 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:32:13,351 INFO     Received from ('127.0.0.1', 49283): AT Bernard +1246004.4264051914 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:32:13,351 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:32:13,351 INFO     Closed the connection with ('127.0.0.1', 49283)
2021-03-11 17:32:13,351 INFO     Closing connection with Riley
2021-03-11 17:32:13,352 INFO     Propagating message to Bernard: AT Bernard +1246004.4264051914 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:32:13,352 INFO     Closing connection with Bernard
2021-03-11 17:32:13,353 INFO     Received from ('127.0.0.1', 49288): AT Bernard +1246004.4264051914 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:32:13,353 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:32:13,353 INFO     Closed the connection with ('127.0.0.1', 49288)
2021-03-11 17:32:13,353 INFO     Propagating message to Campbell: AT Bernard +1246004.4264051914 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:32:13,353 INFO     Closing connection with Campbell
2021-03-11 17:32:13,353 INFO     Closed the connection with ('127.0.0.1', 49280)
2021-03-11 17:36:37,012 INFO     Server Juzang closed.
