2021-03-11 17:36:32,259 INFO     Opened server Jaquez session
2021-03-11 17:36:32,260 DEBUG    Using selector: KqueueSelector
2021-03-11 17:36:32,260 INFO     Jaquez serving on ('127.0.0.1', 15401)
2021-03-11 17:37:20,560 INFO     Received from ('127.0.0.1', 49434): AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,560 INFO     Received new propagated information about location of kiwi.cs.ucla.edu
2021-03-11 17:37:20,560 INFO     Propagating message to Riley: AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,561 INFO     Closing connection with Riley
2021-03-11 17:37:20,564 INFO     Propagating message to Bernard: AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,564 INFO     Received from ('127.0.0.1', 49439): AT Bernard +1246311.6389160156 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:37:20,564 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:37:20,564 INFO     Closed the connection with ('127.0.0.1', 49439)
2021-03-11 17:37:20,565 INFO     Closing connection with Bernard
2021-03-11 17:37:20,565 INFO     Closed the connection with ('127.0.0.1', 49434)
2021-03-11 18:57:49,203 INFO     Server Jaquez closed.
