2021-03-11 17:25:55,902 INFO     Opened server Jaquez session
2021-03-11 17:25:55,902 DEBUG    Using selector: KqueueSelector
2021-03-11 17:25:55,903 INFO     Jaquez serving on ('127.0.0.1', 15401)
2021-03-11 17:27:34,930 INFO     Received from ('127.0.0.1', 49152): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,930 INFO     Received new propagated information about location of kiwi.cs.ucla.edu
2021-03-11 17:27:34,932 INFO     Propagating message to Riley: AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,932 INFO     Closing connection with Riley
2021-03-11 17:27:34,933 INFO     Propagating message to Bernard: AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,933 INFO     Closing connection with Bernard
2021-03-11 17:27:34,933 INFO     Closed the connection with ('127.0.0.1', 49152)
2021-03-11 17:27:34,934 INFO     Received from ('127.0.0.1', 49160): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,934 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:27:34,934 INFO     Closed the connection with ('127.0.0.1', 49160)
2021-03-11 17:29:03,397 INFO     Server Jaquez closed.
