2021-03-11 19:10:50,555 INFO     Opened server Jaquez session
2021-03-11 19:10:50,555 DEBUG    Using selector: KqueueSelector
2021-03-11 19:10:50,556 INFO     Jaquez serving on ('127.0.0.1', 15401)
2021-03-11 19:11:37,687 INFO     Received from ('127.0.0.1', 51834): AT Bernard +1251968.7667860985 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 19:11:37,687 INFO     Received new propagated information about location of kiwi.cs.ucla.edu
2021-03-11 19:11:37,688 INFO     Propagating message to Riley: AT Bernard +1251968.7667860985 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 19:11:37,688 INFO     Closing connection with Riley
2021-03-11 19:11:37,691 INFO     Propagating message to Bernard: AT Bernard +1251968.7667860985 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 19:11:37,692 INFO     Closing connection with Bernard
2021-03-11 19:11:37,692 INFO     Closed the connection with ('127.0.0.1', 51834)
2021-03-11 19:11:37,692 INFO     Received from ('127.0.0.1', 51839): AT Bernard +1251968.7667860985 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 19:11:37,692 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 19:11:37,692 INFO     Closed the connection with ('127.0.0.1', 51839)
2021-03-11 19:12:37,809 INFO     Received from ('127.0.0.1', 51882): AT Bernard +1252028.8895859718 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 19:12:37,809 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 19:12:37,809 INFO     Closed the connection with ('127.0.0.1', 51882)
2021-03-11 19:17:31,718 INFO     Received from ('127.0.0.1', 51982): AT Bernard +1252322.798509121 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 19:17:31,719 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 19:17:31,719 INFO     Closed the connection with ('127.0.0.1', 51982)
2021-03-11 19:17:33,873 INFO     Received from ('127.0.0.1', 51986): AT Bernard +1252324.9535770416 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 19:17:33,873 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 19:17:33,873 INFO     Closed the connection with ('127.0.0.1', 51986)
2021-03-11 20:02:54,858 INFO     Server Jaquez closed.
