2021-03-11 17:25:51,621 INFO     Opened server Riley session
2021-03-11 17:25:51,621 DEBUG    Using selector: KqueueSelector
2021-03-11 17:25:51,622 INFO     Riley serving on ('127.0.0.1', 15400)
2021-03-11 17:27:34,932 INFO     Received from ('127.0.0.1', 49153): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,932 INFO     Received new propagated information about location of kiwi.cs.ucla.edu
2021-03-11 17:27:34,933 INFO     Propagating message to Jaquez: AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,933 INFO     Closing connection with Jaquez
2021-03-11 17:27:34,934 INFO     Received from ('127.0.0.1', 49159): AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,934 INFO     Received redundant propagated info for client kiwi.cs.ucla.edu, ignoring.
2021-03-11 17:27:34,934 INFO     Closed the connection with ('127.0.0.1', 49159)
2021-03-11 17:27:34,935 INFO     Propagating message to Juzang: AT Bernard +1245726.0103740692 kiwi.cs.ucla.edu +34.068930-118.445127 1614209128.918963997
2021-03-11 17:27:34,935 INFO     Closing connection with Juzang
2021-03-11 17:27:34,935 INFO     Closed the connection with ('127.0.0.1', 49153)
2021-03-11 17:29:04,257 INFO     Server Riley closed.
